Family.ID,Race,Hispanic,People.in.household,Primary.economic.activity.,Annual.income,Number.of.People.in.Household.with.GED.or.HS.Diploma,Highest.level.in.household,Indicator,Rent.vs..Own,Assistance.,Automobile
131147,Black or African American,No,5,Employed Full-Time,NA,2,High School/GED,NA,Rent my home,"Food stamps,WIC",Yes
13342,White,Yes,4,Employed Part-Time,9888,0,Less than High School,Physical Activity,Rent my home,Food stamps,No
13342,White,Yes,4,Employed Part-Time,9888,0,Less than High School,Credit,Rent my home,Food stamps,No
13342,White,Yes,4,Employed Part-Time,9888,0,Less than High School,Savings,Rent my home,Food stamps,No
13342,White,Yes,4,Employed Part-Time,9888,0,Less than High School,NA,Rent my home,Food stamps,Yes
13342,White,Yes,4,Employed Full-Time,30000,1,Less than High School,Bathroom,Rent my home,Food stamps,No
13342,White,Yes,4,Employed Full-Time,30000,1,Less than High School,Water,Rent my home,Food stamps,No
13342,White,Yes,4,Employed Full-Time,30000,1,Less than High School,Stable Housing,Rent my home,Food stamps,No
13342,"White,Black or African American",Yes,4,Employed Full-Time,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
13442,Black or African American,No,6,Employed Full-Time,20000,1,High School/GED,Savings,Rent my home,Other,Yes
13442,Black or African American,No,6,Employed Full-Time,20000,1,High School/GED,Physical Activity,Rent my home,Other,Yes
13442,,,6,,NA,NA,,NA,,,
135022,,Yes,3,"Employed Full-Time,In School",20000,1,High School/GED,Physical Activity,Rent my home,,No
135022,,Yes,3,"Employed Full-Time,In School",20000,1,High School/GED,Physical Activity,Rent my home,,No
135022,Other,Yes,3,"Employed Full-Time,In School",20648,1,Less than High School,Physical Activity,Rent my home,Food stamps,
135022,Other,Yes,3,"Employed Full-Time,In School",20648,1,Less than High School,Physical Activity,Rent my home,Food stamps,
135332,,,5,Employed Full-Time,NA,2,High School/GED,NA,,None,
13662,Black or African American,No,6,Unemployed,NA,1,High School/GED,Savings,Own my home,"Food stamps,Other",Yes
13662,Black or African American,No,6,Unemployed,NA,1,High School/GED,NA,Own my home,"Food stamps,Other",Yes
139250,Other,Yes,5,Employed Full-Time,NA,2,High School/GED,Credit,Own my home,Food stamps,Yes
139250,Other,Yes,5,Employed Full-Time,NA,2,High School/GED,Income,Own my home,Food stamps,Yes
139250,Other,Yes,5,Employed Full-Time,NA,2,High School/GED,Savings,Own my home,Food stamps,Yes
139250,Other,Yes,5,Employed Full-Time,26000,1,High School/GED,NA,Own my home,Food stamps,Yes
13927,Other,Yes,7,Employed Full-Time,NA,2,High School/GED,NA,Rent my home,"Other,Food stamps",Yes
13927,,,7,,NA,NA,,NA,,,
13927,Other,Yes,7,Employed Full-Time,NA,2,High School/GED,NA,Rent my home,"Other,Food stamps",Yes
13927,,,7,,NA,NA,,NA,,,
13927,Other,Yes,8,Employed Full-Time,NA,1,High School/GED,Credit,Rent my home,"Food stamps,WIC",Yes
13927,,Yes,8,,34000,1,Less than High School,NA,Rent my home,,Yes
139288,White,Yes,7,"Employed Full-Time,Stay-at-Home Caregiver,In School",22000,0,Less than High School,Enough space,Rent my home,None,Yes
139288,White,Yes,7,"Employed Full-Time,Stay-at-Home Caregiver,In School",22000,0,Less than High School,Physical Activity,Rent my home,None,Yes
139288,White,Yes,7,"Employed Full-Time,Stay-at-Home Caregiver,In School",22000,0,Less than High School,Savings,Rent my home,None,Yes
139288,Other,Yes,7,Employed Part-Time,16800,NA,High School/GED,NA,Own my home,,Yes
139288,NA,NA,NA,NA,NA,NA,NA,Credit,NA,NA,NA
139288,NA,NA,NA,NA,NA,NA,NA,Identification,NA,NA,NA
139288,NA,NA,NA,NA,NA,NA,NA,Continuous Learning,NA,NA,NA
139288,NA,NA,NA,NA,NA,NA,NA,Savings,NA,NA,NA
139288,NA,NA,NA,NA,NA,NA,NA,Physical Activity,NA,NA,NA
139288,NA,NA,NA,NA,NA,NA,NA,Internet,NA,NA,NA
139990,,,5,,NA,NA,,English Literacy,,,
139990,,,5,,NA,NA,,Insurance,,,
139990,,,5,,NA,NA,,Savings,,,
14007,Black or African American,No,5,Employed Full-Time,28000,1,High School/GED,Internet,Own my home,WIC,Yes
14007,Black or African American,No,5,Employed Full-Time,28000,1,High School/GED,Budget,Own my home,WIC,Yes
14007,Black or African American,No,5,Employed Full-Time,28000,1,High School/GED,NA,Own my home,WIC,Yes
14007,Black or African American,No,5,Employed Full-Time,28000,1,High School/GED,Savings,Own my home,WIC,Yes
14007,Black or African American,No,5,Employed Full-Time,28000,1,High School/GED,Close relationships,Own my home,WIC,Yes
14007,Black or African American,No,5,Employed Full-Time,28000,1,High School/GED,Credit,Own my home,WIC,Yes
14007,Black or African American,No,5,Employed Full-Time,28237,1,High School/GED,NA,Rent my home,,Yes
140070,White,Yes,7,Employed Full-Time,NA,0,Less than High School,Enough space,Own my home,"TANF,WIC",Yes
14155,Black or African American,No,5,"Self-Employed,Employed Part-Time,Stay-at-Home Caregiver,In School",10200,1,Two-Year College Degree,Savings,Rent my home,"WIC,Food stamps",Yes
14155,Black or African American,No,5,,NA,NA,,NA,,,
144679,Other,Yes,8,"Employed Full-Time,Unemployed",15000,0,High School/GED,NA,Own my home,WIC,Yes
144679,White,Yes,8,,NA,0,Less than High School,NA,Own my home,,No
146054,NA,NA,NA,NA,NA,NA,NA,Environment,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Bank services,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Debt,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Budget,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Employability Readiness,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Stable Income,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Identification,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Transportation,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Garbage,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Enough space,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Electricity,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Close relationships,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Civic Engagement,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Savings,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Income,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Literacy,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Community,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Entertainment,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Credit,NA,NA,NA
146054,NA,NA,NA,NA,NA,NA,NA,Savings,NA,NA,NA
146054,Black or African American,No,4,Employed Full-Time,25000,1,High School/GED,Income,Rent my home,Food stamps,Yes
146054,Black or African American,No,4,Employed Full-Time,25000,1,High School/GED,Savings,Rent my home,Food stamps,Yes
146054,,,4,,NA,NA,,NA,,,
146457,White,Yes,5,Employed Full-Time,32000,2,High School/GED,NA,Rent my home,WIC,Yes
146457,White,Yes,5,Employed Full-Time,45000,2,Four-Year College Degree,NA,Rent my home,WIC,Yes
146457,White,Yes,5,Employed Full-Time,35000,2,High School/GED,NA,Own my home,Food stamps,Yes
147140,Other,Yes,3,"Employed Full-Time,Stay-at-Home Caregiver",0,1,High School/GED,NA,Own my home,None,Yes
147248,Black or African American,No,4,Employed Part-Time,4078,1,High School/GED,Physical Activity,Rent my home,"Food stamps,WIC",Yes
147248,Black or African American,No,4,Employed Part-Time,4078,1,High School/GED,Water,Rent my home,"Food stamps,WIC",Yes
147248,Black or African American,No,4,Employed Part-Time,4078,1,High School/GED,Nutritious diet,Rent my home,"Food stamps,WIC",Yes
147489,White,No,4,Employed Full-Time,28000,0,Less than High School,NA,Owners,,Yes
147489,White,Yes,4,Employed Full-Time,NA,NA,Less than High School,NA,Rent my home,"Food stamps,WIC",Yes
147489,White,Yes,4,Employed Full-Time,32000,NA,High School/GED,NA,Own my home,"Food stamps,WIC",Yes
147633,Black or African American,No,2,Employed Part-Time,0,1,High School/GED,Savings,Rent my home,"Food stamps,WIC",Yes
147633,Black or African American,No,2,Employed Part-Time,0,1,High School/GED,Income,Rent my home,"Food stamps,WIC",Yes
147633,Black or African American,No,2,Employed Part-Time,0,1,High School/GED,Debt,Rent my home,"Food stamps,WIC",Yes
147633,Black or African American,No,2,Employed Full-Time,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
147772,"Black or African American,Other",No,4,Employed Full-Time,15904,0,Less than High School,Nutritious diet,Rent my home,"Food stamps,WIC",Yes
147772,"Black or African American,Other",No,4,Employed Full-Time,15904,0,Less than High School,Credit,Rent my home,"Food stamps,WIC",Yes
147772,Black or African American,Yes,4,Employed Full-Time,NA,1,High School/GED,NA,Rent my home,,Yes
149230,Black or African American,No,5,Employed Full-Time,24000,1,High School/GED,NA,Live with another family,"Food stamps,WIC",Yes
149230,Black or African American,No,5,Employed Full-Time,NA,1,Less than High School,Credit,Rent my home,Food stamps,Yes
14934,Black or African American,No,4,Unemployed,11524,1,High School/GED,Credit,Rent my home,"Food stamps,WIC",Yes
14934,Black or African American,No,4,Unemployed,11524,1,High School/GED,Savings,Rent my home,"Food stamps,WIC",Yes
14934,Black or African American,No,4,Unemployed,11524,1,High School/GED,Debt,Rent my home,"Food stamps,WIC",Yes
14934,Black or African American,No,4,Employed Part-Time,7789,1,Two-Year College Degree,Savings,Rent my home,"Food stamps,WIC",Yes
14934,Black or African American,No,4,Employed Full-Time,7789,1,Two-Year College Degree,Budget,Rent my home,"Food stamps,WIC",Yes
14934,Other,No,4,Other,NA,NA,,NA,,Food stamps,Yes
14934,Black or African American,No,4,Other,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
14934,Other,No,4,Other,NA,NA,,NA,,Food stamps,Yes
14934,Black or African American,No,4,Other,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
149972,Other,Yes,4,Employed Full-Time,20800,1,Two-Year College Degree,NA,Rent my home,Food stamps,Yes
150716,White,Yes,5,Employed Full-Time,32000,0,Less than High School,NA,Rent my home,,Yes
150716,White,Yes,5,Employed Full-Time,NA,NA,High School/GED,NA,Own my home,Food stamps,Yes
150716,White,Yes,5,Employed Full-Time,40000,1,High School/GED,NA,Rent my home,WIC,Yes
151404,Black or African American,No,6,Employed Part-Time,40000,0,Less than High School,Credit,Rent my home,Food stamps,Yes
151404,Black or African American,No,6,Employed Part-Time,40000,0,Less than High School,Savings,Rent my home,Food stamps,Yes
151404,Black or African American,No,6,Employed Part-Time,40000,0,Less than High School,Budget,Rent my home,Food stamps,Yes
151484,White,Yes,4,Employed Full-Time,NA,0,Less than High School,NA,Rent my home,None,Yes
151484,White,Yes,4,Employed Full-Time,NA,NA,Less than High School,NA,Rent my home,Food stamps,Yes
151484,White,Yes,4,Employed Full-Time,34000,1,High School/GED,NA,Rent my home,"WIC,TANF",Yes
15335,White,Yes,5,Employed Full-Time,NA,1,High School/GED,NA,Own my home,WIC,Yes
15335,,Yes,5,Employed Full-Time,NA,1,High School/GED,Employability Readiness,Own my home,WIC,Yes
15335,,Yes,5,Employed Full-Time,NA,1,High School/GED,Generate income,Own my home,WIC,Yes
15335,White,Yes,6,Employed Full-Time,NA,1,High School/GED,Literacy,Own my home,"WIC,Other",Yes
15335,White,Yes,6,Employed Full-Time,NA,2,High School/GED,NA,Own my home,WIC,Yes
153756,White,No,5,Unemployed,NA,3,Two-Year College Degree,Stable Income,Live with partner in their home,"Food stamps,WIC",Yes
153756,White,No,5,Unemployed,NA,3,Two-Year College Degree,Savings,Live with partner in their home,"Food stamps,WIC",Yes
153756,White,No,5,Unemployed,NA,3,Two-Year College Degree,Income,Live with partner in their home,"Food stamps,WIC",Yes
154177,Other,Yes,3,Employed Full-Time,20000,1,High School/GED,Savings,Rent my home,Food stamps,Yes
154177,Other,Yes,3,Employed Full-Time,20000,1,High School/GED,Credit,Rent my home,Food stamps,Yes
156160,Other,Yes,3,"Employed Full-Time,Unemployed",15600,1,Two-Year College Degree,NA,Live with parents,"WIC,Food stamps",Yes
15743,Black or African American,No,4,Employed Full-Time,7403,1,High School/GED,Savings,Rent my home,"Food stamps,Other",No
15743,Black or African American,No,4,Employed Full-Time,7403,1,High School/GED,Transportation,Rent my home,"Food stamps,Other",No
15743,Black or African American,No,4,Employed Part-Time,7403,1,High School/GED,Budget,Rent my home,"Food stamps,WIC",Yes
15743,Black or African American,No,4,Employed Part-Time,7403,1,High School/GED,Savings,Rent my home,"Food stamps,WIC",Yes
15762,White,Yes,5,"Employed Full-Time,Stay-at-Home Caregiver",NA,1,High School/GED,NA,Own my home,,Yes
15762,Other,Yes,5,"Stay-at-Home Caregiver,Independiente",NA,2,Four-Year College Degree,NA,Own my home,WIC,Yes
157630,Black or African American,Yes,5,Stay-at-Home Caregiver,NA,1,High School/GED,NA,Live with parents,"Food stamps,WIC",No
15884,"Black or African American,Asian,White",No,4,Employed Part-Time,0,1,Two-Year College Degree,Vaccines,Rent my home,Social Security,Yes
15884,"Black or African American,Asian,White",No,4,Employed Part-Time,0,1,Two-Year College Degree,Debt,Rent my home,Social Security,Yes
15884,"Black or African American,Asian,White",No,4,Employed Part-Time,0,1,Two-Year College Degree,Civic Engagement,Rent my home,Social Security,Yes
15884,"Black or African American,Asian,White",No,4,Employed Part-Time,0,1,Two-Year College Degree,Savings,Rent my home,Social Security,Yes
15884,"Black or African American,Asian",No,4,Stay-at-Home Caregiver,10000,2,High School/GED,NA,Rent my home,"WIC,Social Security",Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Debt,Rent my home,Food stamps,Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Savings,Rent my home,Food stamps,Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Budget,Rent my home,Food stamps,Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Credit,Rent my home,Food stamps,Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Internet,Rent my home,Food stamps,Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Community,Rent my home,Food stamps,Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Entertainment,Rent my home,Food stamps,Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Mental health services,Rent my home,Food stamps,Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Stable Income,Rent my home,Food stamps,Yes
15923,Other,Yes,4,"Stay-at-Home Caregiver,Unemployed",NA,1,Two-Year College Degree,Civic Engagement,Rent my home,Food stamps,Yes
15923,Other,Yes,4,Employed Full-Time,NA,1,Two-Year College Degree,NA,Rent my home,Food stamps,Yes
161034,Black or African American,No,3,Other,18559,1,High School/GED,Nutritious diet,Rent my home,"Food stamps,WIC",Yes
161034,Black or African American,No,3,Other,18559,1,High School/GED,Physical Activity,Rent my home,"Food stamps,WIC",Yes
161034,Black or African American,No,3,Other,NA,1,Two-Year College Degree,NA,Own my home,Food stamps,Yes
161664,Other,Yes,4,Other,9600,0,Less than High School,Physical Activity,Rent my home,"WIC,Food stamps",Yes
161664,Other,Yes,4,Other,9600,0,Less than High School,Credit,Rent my home,"WIC,Food stamps",Yes
161664,Other,Yes,4,Other,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
16169,Other,Yes,6,"Employed Full-Time,Unemployed,In School",0,0,Less than High School,Credit,Husband job comes with home to live.,Food stamps,Yes
16169,Other,Yes,6,"Employed Full-Time,Unemployed,In School",0,0,Less than High School,Income,Husband job comes with home to live.,Food stamps,Yes
16169,Other,Yes,6,"Employed Full-Time,Unemployed,In School",0,0,Less than High School,Physical Activity,Husband job comes with home to live.,Food stamps,Yes
161701,Black or African American,No,5,Employed Full-Time,NA,3,High School/GED,NA,Rent my home,Food stamps,Yes
161701,,,5,,NA,NA,,NA,,,
161750,White,Yes,7,Employed Full-Time,33000,1,High School/GED,NA,Own my home,Food stamps,Yes
161750,White,Yes,7,Employed Full-Time,NA,NA,High School/GED,NA,Own my home,Food stamps,Yes
162812,Other,Yes,3,Other,0,1,Two-Year College Degree,Literacy,Rent my home,"Food stamps,WIC",Yes
162812,Other,Yes,3,Unemployed,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
162812,Other,Yes,3,Unemployed,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
162812,Other,Yes,3,Unemployed,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
162812,Other,Yes,3,Unemployed,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
162871,White,Yes,6,Employed Full-Time,38000,1,High School/GED,NA,Own my home,None,Yes
163235,White,No,6,"Stay-at-Home Caregiver,Employed Full-Time",30000,2,Two-Year College Degree,Debt,Rent my home,"Food stamps,WIC",Yes
163235,White,No,6,,NA,NA,,NA,Rent my home,,Yes
163235,White,No,6,Unemployed,NA,2,Two-Year College Degree,Budget,Rent my home,"Food stamps,WIC,Other",Yes
163235,White,No,6,Unemployed,NA,NA,,NA,Rent my home,"Food stamps,None",Yes
16347,White,No,4,Employed Part-Time,NA,1,Two-Year College Degree,Debt,Own my home,Food stamps,Yes
16347,,,4,,NA,NA,,NA,,,
163502,Black or African American,No,1,Employed Full-Time,NA,1,Two-Year College Degree,NA,Rent my home,"Food stamps,WIC",Yes
163502,Black or African American,No,1,Employed Full-Time,7000,1,High School/GED,NA,Rent my home,"Food stamps,WIC",Yes
163502,NA,NA,NA,NA,NA,NA,NA,Savings,NA,NA,NA
163825,Black or African American,No,5,Other,22484,1,Two-Year College Degree,NA,Rent my home,"Food stamps,WIC",Yes
163882,Black or African American,No,5,Other,11143,1,High School/GED,Savings,Rent my home,,Yes
165456,Other,Yes,7,Employed Part-Time,10023,1,High School/GED,Credit,Rent my home,WIC,Yes
165456,Other,Yes,7,Employed Part-Time,10023,1,High School/GED,Nutritious diet,Rent my home,WIC,Yes
165456,Other,No,7,Employed Full-Time,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
165833,White,Yes,5,Employed Full-Time,32000,1,High School/GED,NA,Own my home,Food stamps,Yes
166098,Black or African American,No,4,Employed Full-Time,16644,2,Two-Year College Degree,Physical Activity,Rent my home,Food stamps,Yes
166098,Black or African American,No,4,Employed Full-Time,16644,2,Two-Year College Degree,Nutritious diet,Rent my home,Food stamps,Yes
166098,Black or African American,No,4,Employed Full-Time,18644,2,Two-Year College Degree,NA,Rent my home,,Yes
166148,Black or African American,No,4,Unemployed,2400,1,High School/GED,Savings,Rent my home,"Food stamps,WIC",No
166148,Black or African American,No,4,Unemployed,2400,1,High School/GED,Transportation,Rent my home,"Food stamps,WIC",No
166148,Black or African American,No,4,Unemployed,2400,1,High School/GED,Income,Rent my home,"Food stamps,WIC",No
166148,Black or African American,No,4,Unemployed,2400,1,High School/GED,Bank services,Rent my home,"Food stamps,WIC",No
166148,Black or African American,No,4,Unemployed,2000,1,High School/GED,NA,Rent my home,"Food stamps,WIC,Other",No
166148',Black or African American,No,3,Unemployed,22000,12,High School/GED,NA,Rent my home,"WIC,Food stamps,Other",No
166933,White,No,3,Employed Part-Time,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
167288,Black or African American,No,2,Employed Part-Time,15000,1,Four-Year College Degree,Debt,Rent my home,"Food stamps,WIC",Yes
167288,Black or African American,No,2,Employed Part-Time,15000,1,Four-Year College Degree,Income,Rent my home,"Food stamps,WIC",Yes
167288,Black or African American,No,2,Employed Part-Time,20000,1,Four-Year College Degree,NA,Rent my home,"Food stamps,WIC",Yes
167358,Black or African American,No,4,Other,NA,1,Two-Year College Degree,NA,Rent my home,Food stamps,Yes
167406,Black or African American,No,5,Employed Full-Time,25000,1,,NA,Rent my home,"Food stamps,WIC",Yes
167406,,,5,,NA,NA,,Credit,,,
167915,White,No,3,Employed Full-Time,NA,2,Four-Year College Degree,NA,Own my home,None,Yes
167915,,,3,,NA,NA,,NA,,,
168284,White,Yes,3,Employed Full-Time,NA,1,Two-Year College Degree,NA,,WIC,Yes
168352,Black or African American,No,2,Unemployed,NA,1,High School/GED,NA,Rent my home,"Food stamps,WIC",Yes
168352,,,2,,NA,NA,,NA,,,
168460,White,Yes,4,Employed Full-Time,54000,1,High School/GED,Internet,Own my home,None,Yes
168460,White,Yes,4,Employed Full-Time,54000,1,High School/GED,Credit,Own my home,None,Yes
168460,White,Yes,4,Employed Full-Time,54000,1,High School/GED,Savings,Own my home,None,Yes
168460,Other,Yes,4,Employed Full-Time,NA,1,Two-Year College Degree,Civic Engagement,Rent my home,WIC,Yes
168460,Other,Yes,4,Employed Full-Time,NA,1,Two-Year College Degree,Savings,Rent my home,WIC,Yes
168460,Other,Yes,4,Employed Full-Time,NA,1,Two-Year College Degree,Income,Rent my home,WIC,Yes
168460,,Yes,4,In School,4500,1,Two-Year College Degree,NA,Rent my home,WIC,Yes
169420,Other,Yes,2,Employed Full-Time,NA,1,Graduate Degree,NA,Rent my home,"Food stamps,WIC",Yes
16944,Black or African American,No,5,Employed Full-Time,20217,1,High School/GED,Physical Activity,Rent my home,"Food stamps,WIC",Yes
16944,Black or African American,No,5,Other,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
169685,Black or African American,No,3,Employed Full-Time,NA,1,Less than High School,NA,Rent my home,WIC,No
169706,Other,No,3,Unemployed,NA,1,High School/GED,NA,,"Food stamps,WIC",Yes
170431,Black or African American,No,3,Employed Part-Time,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
170431,,,3,,NA,NA,,NA,,,
170698,,Yes,4,,NA,1,High School/GED,NA,Rent my home,,Yes
170812,Black or African American,No,3,Employed Full-Time,40000,1,Two-Year College Degree,NA,Own my home,WIC,Yes
170963,White,Yes,3,Unemployed,NA,NA,High School/GED,NA,Rent my home,Food stamps,No
170963,,,3,,NA,NA,,NA,,,
171044,White,Yes,5,Employed Full-Time,34000,2,High School/GED,NA,Own my home,WIC,Yes
171938,White,Yes,5,Employed Full-Time,35000,1,Two-Year College Degree,NA,Own my home,WIC,Yes
171953,Black or African American,No,7,Employed Full-Time,27000,2,High School/GED,NA,Rent my home,Food stamps,Yes
171953,Black or African American,No,7,Employed Full-Time,NA,2,High School/GED,Budget,Rent my home,"Food stamps,WIC",Yes
172217,White,Yes,5,Employed Full-Time,35000,0,Less than High School,NA,Live with another family,"Food stamps,WIC,Social Security",Yes
172217,White,Yes,5,Employed Full-Time,35000,0,Less than High School,NA,Live with another family,"Food stamps,WIC,Social Security",Yes
172217,White,Yes,5,Employed Full-Time,35000,0,Less than High School,NA,Live with another family,"Food stamps,Disability,WIC",Yes
172217,White,Yes,5,Employed Full-Time,35000,0,Less than High School,NA,Live with another family,"Food stamps,Disability,WIC",Yes
172260,White,No,5,Employed Full-Time,NA,2,High School/GED,Credit,Live with partner in their home,"Food stamps,WIC",Yes
172260,White,No,5,Employed Full-Time,NA,2,High School/GED,Budget,Live with partner in their home,"Food stamps,WIC",Yes
172264,Black or African American,No,4,Employed Full-Time,NA,1,High School/GED,NA,Rent my home,,Yes
172301,White,Yes,3,Employed Full-Time,30000,0,Less than High School,NA,Rent my home,WIC,Yes
